epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1603.84,0.54164,0.3709,0.9208,0.99133,0.9959,0.99397,0.8485,0.6047,0.27354,0.92771,0.000742625,0.000742625,0.000742625
43,1653.4,0.5347,0.36781,0.92212,0.99378,0.99701,0.9942,0.84849,0.60898,0.2692,0.92731,0.00073025,0.00073025,0.00073025
44,1702.3,0.53532,0.36273,0.92202,0.97133,0.96843,0.98169,0.84436,0.58889,0.33798,0.91354,0.000717875,0.000717875,0.000717875
45,1750.89,0.53549,0.36558,0.92852,0.93422,0.93725,0.96377,0.8308,0.58662,0.46333,0.91668,0.0007055,0.0007055,0.0007055
46,1855.73,0.5382,0.37014,0.92879,0.97961,0.97871,0.99309,0.84903,0.61124,0.30144,0.94125,0.000693125,0.000693125,0.000693125
47,1921.92,0.5339,0.36007,0.9237,0.99536,0.9959,0.99416,0.85065,0.61009,0.26606,0.93724,0.00068075,0.00068075,0.00068075
48,1957.5,0.5276,0.35564,0.91754,0.97885,0.97858,0.99197,0.84015,0.62632,0.30357,0.9363,0.000668375,0.000668375,0.000668375
49,1992.49,0.52637,0.35374,0.92427,0.99676,0.99699,0.99424,0.85001,0.6021,0.26354,0.93168,0.000656,0.000656,0.000656
50,2027.77,0.52761,0.35497,0.91982,0.98883,0.99253,0.99407,0.85247,0.59518,0.27385,0.92118,0.000643625,0.000643625,0.000643625
51,2063.36,0.52648,0.35256,0.92003,0.99642,0.99496,0.99414,0.84764,0.60488,0.25868,0.93143,0.00063125,0.00063125,0.00063125
52,2098.48,0.52245,0.34553,0.91931,0.99172,0.99522,0.99405,0.85868,0.58473,0.26234,0.91055,0.000618875,0.000618875,0.000618875
53,2133.44,0.5196,0.34266,0.91794,0.99099,0.99109,0.99407,0.85365,0.5952,0.26156,0.92413,0.0006065,0.0006065,0.0006065
54,2168.73,0.52111,0.34591,0.91847,0.99547,0.9987,0.9942,0.85691,0.58891,0.25449,0.91909,0.000594125,0.000594125,0.000594125
55,2203.81,0.5155,0.33928,0.91657,0.97947,0.98385,0.99096,0.84855,0.59922,0.28031,0.92178,0.00058175,0.00058175,0.00058175
56,2238.59,0.5155,0.33623,0.91588,0.98929,0.98384,0.99429,0.85361,0.59235,0.26999,0.91486,0.000569375,0.000569375,0.000569375
57,2273.84,0.50932,0.33169,0.91644,0.99167,0.99362,0.99436,0.85177,0.60633,0.25846,0.93328,0.000557,0.000557,0.000557
58,2308.84,0.51403,0.33413,0.91806,0.99459,0.99388,0.9942,0.85336,0.59534,0.24987,0.9229,0.000544625,0.000544625,0.000544625
59,2343.67,0.51403,0.3338,0.91438,0.99505,0.99477,0.99414,0.8517,0.59504,0.25056,0.92596,0.00053225,0.00053225,0.00053225
60,2379.01,0.50658,0.33037,0.9111,0.99247,0.99893,0.99418,0.85436,0.59989,0.25385,0.92775,0.000519875,0.000519875,0.000519875
